Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
105,30,8,57,6,Some Random Commen with Id 105
106,30,8,132,2,Some Random Commen with Id 106
107,30,8,95,0,Some Random Commen with Id 107
108,30,8,142,4,Some Random Commen with Id 108
109,31,1,62,1,Some Random Commen with Id 109
110,31,1,28,3,Some Random Commen with Id 110
111,31,1,61,8,Some Random Commen with Id 111
112,33,9,194,3,Some Random Commen with Id 112
113,33,9,92,5,Some Random Commen with Id 113
114,33,9,15,4,Some Random Commen with Id 114
115,33,9,11,8,Some Random Commen with Id 115
116,33,9,67,2,Some Random Commen with Id 116
117,33,9,110,1,Some Random Commen with Id 117
118,33,9,89,3,Some Random Commen with Id 118
119,33,9,73,5,Some Random Commen with Id 119
120,34,5,12,2,Some Random Commen with Id 120
121,34,5,37,2,Some Random Commen with Id 121
122,34,5,184,8,Some Random Commen with Id 122
123,34,5,168,3,Some Random Commen with Id 123
124,34,5,150,6,Some Random Commen with Id 124
125,34,5,91,8,Some Random Commen with Id 125
126,34,5,83,8,Some Random Commen with Id 126
127,35,4,64,6,Some Random Commen with Id 127
128,35,4,28,3,Some Random Commen with Id 128
129,35,4,109,0,Some Random Commen with Id 129
130,35,4,129,3,Some Random Commen with Id 130
131,35,4,45,9,Some Random Commen with Id 131
132,35,4,157,3,Some Random Commen with Id 132
133,35,4,61,5,Some Random Commen with Id 133
134,35,4,147,7,Some Random Commen with Id 134
135,36,9,25,3,Some Random Commen with Id 135
136,36,9,131,8,Some Random Commen with Id 136
137,36,9,81,2,Some Random Commen with Id 137
138,36,9,92,9,Some Random Commen with Id 138
139,36,9,162,7,Some Random Commen with Id 139
140,36,9,48,9,Some Random Commen with Id 140
141,36,9,76,1,Some Random Commen with Id 141
142,36,9,170,8,Some Random Commen with Id 142
143,37,1,162,3,Some Random Commen with Id 143
144,37,1,70,9,Some Random Commen with Id 144
145,37,1,83,3,Some Random Commen with Id 145
146,37,1,137,7,Some Random Commen with Id 146
147,37,1,109,6,Some Random Commen with Id 147
148,37,1,124,9,Some Random Commen with Id 148
149,37,1,89,5,Some Random Commen with Id 149
150,37,1,55,5,Some Random Commen with Id 150
151,37,1,114,3,Some Random Commen with Id 151
152,38,6,163,6,Some Random Commen with Id 152
153,38,6,28,2,Some Random Commen with Id 153
154,38,6,51,5,Some Random Commen with Id 154
155,38,6,151,7,Some Random Commen with Id 155
156,38,6,53,4,Some Random Commen with Id 156
157,38,6,169,9,Some Random Commen with Id 157
158,39,0,159,1,Some Random Commen with Id 158
159,39,0,28,7,Some Random Commen with Id 159
160,39,0,33,9,Some Random Commen with Id 160
161,39,0,188,8,Some Random Commen with Id 161
162,39,0,42,3,Some Random Commen with Id 162
163,39,0,143,1,Some Random Commen with Id 163
164,39,0,154,8,Some Random Commen with Id 164
165,39,0,185,6,Some Random Commen with Id 165
